Hours_cat,Score_cat,Extracurricular,Sleep_cat,Practice_cat,Performance_cat
High,High,Yes,High,Low,High
Medium,High,No,Low,Low,Medium
High,Low,Yes,Normal,Low,Medium
Medium,Low,Yes,Low,Low,Low
High,Medium,No,High,Medium,Medium
Low,Medium,No,High,Medium,Medium
High,Medium,Yes,Low,Medium,Medium
High,Low,Yes,Low,Medium,Medium
Medium,Medium,No,High,Low,Medium
Medium,High,No,Low,Low,Medium
High,High,No,Low,Medium,High
High,Medium,No,Normal,Low,High
Low,Low,No,High,Low,Low
Medium,Low,No,Low,Low,Low
Medium,Medium,No,Normal,High,Medium
Low,Medium,No,Low,Low,Medium
High,Medium,Yes,High,Medium,Medium
Medium,High,Yes,Normal,Low,Medium
Low,Low,Yes,Low,High,Low
Medium,Medium,No,Normal,Low,Medium
Low,High,Yes,Low,Low,High
Medium,High,No,High,Low,High
High,Medium,Yes,Normal,Medium,High
Low,High,No,Low,Medium,Medium
Low,Medium,No,Normal,Low,Low
High,Medium,Yes,Normal,Medium,Medium
Medium,Medium,No,High,High,Medium
High,High,Yes,Normal,Medium,High
Low,High,Yes,Normal,Medium,High
Medium,High,Yes,Low,Low,High
Low,Medium,Yes,Normal,Low,Low
High,Low,Yes,High,Low,Low
Medium,Medium,Yes,Normal,High,Medium
High,Low,Yes,High,Low,Medium
High,Medium,Yes,High,Low,Medium
Low,High,Yes,High,Medium,High
Medium,Low,No,High,Low,Medium
High,Medium,No,High,Low,Medium
Low,Low,Yes,Low,Low,Low
High,Medium,No,Low,Low,Medium
Medium,Medium,No,Normal,Medium,Medium
Low,Medium,Yes,Normal,Low,Low
Medium,Medium,Yes,Normal,Low,Medium
High,Low,No,High,Medium,Low
High,Medium,Yes,Normal,Medium,High
Low,Medium,Yes,Low,Low,Medium
Low,Low,Yes,Normal,Low,Low
Medium,Medium,No,Low,Medium,Medium
Low,High,Yes,Low,Low,Medium
High,Medium,No,Normal,Low,Medium
Medium,Low,Yes,Normal,Medium,Low
Low,High,Yes,Normal,Low,Medium
Medium,High,No,High,High,High
Medium,Medium,Yes,High,Low,Medium
Medium,High,No,High,Low,High
Medium,High,No,Low,High,High
Low,Low,Yes,High,Medium,Low
Low,Medium,Yes,Low,High,Medium
Medium,High,No,Normal,Low,High
High,Low,No,Normal,Low,Low
High,High,Yes,High,Medium,Medium
High,High,Yes,High,Medium,High
High,High,Yes,Low,High,High
Medium,Medium,Yes,Normal,Low,Medium
Low,Medium,Yes,Normal,Medium,Medium
Medium,High,No,Low,Low,High
High,Low,No,Low,High,Medium
High,Low,No,Low,Low,Medium
High,High,No,High,Low,High
Low,High,Yes,High,High,Medium
High,Medium,No,High,High,High
High,Medium,Yes,Low,High,Medium
High,High,Yes,Low,Medium,High
High,Medium,Yes,Low,Low,Medium
Low,High,Yes,High,Low,Medium
High,Low,Yes,Normal,Low,Low
High,Medium,No,Normal,Low,Medium
Low,Low,Yes,Low,Low,Low
Low,Low,Yes,High,High,Low
High,High,Yes,Normal,High,High
Low,Medium,No,Low,High,Medium
Low,Medium,Yes,High,Medium,Medium
Low,Low,Yes,High,Medium,Low
Medium,Medium,Yes,High,Low,Medium
High,Medium,No,High,Low,High
High,High,Yes,Low,Low,High
High,Medium,No,Normal,Medium,Medium
High,High,No,Low,Low,High
High,Medium,Yes,Normal,High,Medium
Low,Low,No,High,Low,Low
Low,Low,No,Low,Medium,Low
High,Low,Yes,Normal,Low,Low
High,Medium,Yes,High,High,Medium
High,High,Yes,Low,Low,High
Medium,High,Yes,High,High,Medium
Low,Low,No,Normal,Medium,Low
High,Medium,No,Low,Low,Medium
Medium,High,Yes,Normal,High,High
Low,Low,Yes,Low,Medium,Low
Low,Low,Yes,High,Medium,Low
Low,Low,No,Low,Medium,Low
Medium,Medium,Yes,High,Medium,Medium
Low,Low,No,Normal,Medium,Low
Low,High,No,Normal,High,High
Medium,Medium,No,High,Medium,Medium
High,Low,No,Low,High,Medium
High,High,Yes,Low,Low,High
High,High,Yes,High,High,High
Low,Medium,Yes,Low,Low,Medium
High,High,No,High,Low,High
Low,High,No,Low,Medium,Medium
Medium,Low,Yes,High,Low,Low
Medium,Medium,No,High,High,Medium
Medium,Low,No,Low,High,Low
High,Medium,No,Low,High,Medium
High,High,Yes,Low,High,High
Medium,Low,Yes,Normal,Low,Low
High,Medium,Yes,High,Low,Medium
Low,Medium,No,High,High,Medium
Medium,Low,Yes,Low,High,Medium
Low,Low,Yes,High,High,Low
High,High,Yes,High,Low,High
Medium,Low,No,Low,Medium,Medium
Medium,High,No,Low,Medium,Medium
Medium,Low,No,Low,High,Low
High,Medium,No,Low,Low,High
High,Low,No,High,Low,Medium
High,High,Yes,Normal,Low,High
Low,High,Yes,High,Low,High
Low,Medium,No,High,Low,Medium
High,Medium,No,High,Low,High
High,High,Yes,Low,Low,High
Medium,Low,No,Normal,Medium,Low
High,Low,No,Normal,High,Medium
Low,High,No,Low,High,Medium
High,High,No,Low,Low,High
Medium,Low,No,High,Low,Medium
High,Medium,Yes,Normal,Medium,Medium
High,Low,Yes,High,Medium,Medium
Medium,Low,No,Normal,High,Medium
Low,High,No,High,Medium,Medium
Low,High,Yes,Low,Medium,Medium
High,High,No,High,High,High
Medium,Low,Yes,Low,High,Medium
High,Low,No,Low,Medium,Low
High,High,Yes,Normal,High,High
Medium,Low,Yes,High,Low,Low
Low,Medium,No,Low,Medium,Low
Low,Medium,No,Normal,Low,Medium
Medium,Medium,Yes,High,Medium,Medium
High,High,No,High,Medium,High
Low,Low,Yes,High,High,Low
Low,Low,No,Low,High,Low
Low,High,No,High,Medium,High
Medium,Low,No,Low,High,Medium
Low,Medium,Yes,Low,High,Medium
High,Low,Yes,Normal,High,Low
Low,Low,No,Low,Low,Low
Low,High,Yes,Normal,High,Medium
Low,Medium,No,Normal,Low,Medium
Low,Low,Yes,Low,Low,Low
Medium,High,No,Low,Low,High
High,Low,Yes,Normal,Medium,Low
Medium,Medium,Yes,High,Low,Medium
Low,Medium,Yes,High,High,Medium
Low,High,Yes,High,Low,Medium
Low,Medium,Yes,Normal,Low,Medium
Low,Medium,Yes,Normal,High,Medium
Medium,Low,No,Normal,Medium,Low
Medium,High,No,Normal,Low,High
High,Low,Yes,Normal,Low,Medium
Medium,High,No,Normal,High,High
High,Medium,Yes,Low,Low,Medium
High,Medium,No,Normal,High,Medium
Low,Low,No,Normal,Medium,Low
Medium,Low,No,Normal,Medium,Medium
High,Low,No,Low,Low,Medium
Medium,High,Yes,Low,High,Medium
Medium,Medium,No,Low,Medium,Medium
Low,High,No,High,High,High
Medium,Medium,No,High,High,Medium
Medium,Low,Yes,Low,Low,Low
Low,High,No,High,Medium,High
High,Medium,Yes,High,Low,High
Medium,Low,Yes,High,High,Low
Low,High,No,High,Low,Medium
Medium,Low,Yes,High,Low,Low
Medium,High,No,Normal,Low,High
Low,High,No,Low,Medium,High
Low,Medium,No,Low,Medium,Medium
Low,Medium,No,Normal,High,Medium
Medium,High,No,High,Medium,High
High,Low,No,Low,High,Medium
Medium,Low,No,Low,Low,Low
High,Low,Yes,High,Low,Medium
Low,High,Yes,Normal,Medium,Medium
High,High,No,Low,Medium,High
High,High,No,Low,High,High
Low,Low,Yes,Normal,High,Low
High,High,No,Normal,Low,High
Low,Low,Yes,Low,Medium,Low
High,Medium,Yes,Low,High,Medium
High,Low,No,Low,High,Medium
Low,Low,No,Low,Medium,Low
High,Low,Yes,Normal,Low,Low
Low,Low,Yes,High,Medium,Low
High,Medium,No,Normal,High,Medium
High,Medium,No,Low,Low,Medium
Medium,Low,Yes,Low,Low,Low
Low,Low,Yes,Normal,Medium,Low
Low,Medium,Yes,Normal,Medium,Low
Low,Low,No,High,Low,Low
Medium,Low,No,High,Medium,Low
Medium,High,No,Low,Low,High
High,High,Yes,Low,Medium,High
High,Low,Yes,High,Low,Medium
High,Low,No,High,Medium,Medium
Low,High,Yes,Normal,Low,High
Low,Medium,Yes,Low,Low,Medium
Low,Low,Yes,Low,Medium,Low
Medium,Medium,Yes,Normal,Medium,Medium
High,Medium,Yes,High,Medium,Medium
Medium,Medium,No,Low,Medium,Medium
High,Medium,No,Normal,Medium,Medium
Low,Medium,No,Normal,Low,Medium
High,Low,No,Low,Medium,Medium
Medium,Low,No,Low,Low,Low
Low,High,Yes,High,Medium,Medium
High,High,Yes,Normal,Low,High
Medium,High,Yes,High,Medium,Medium
Medium,High,No,High,Low,High
High,High,Yes,High,High,High
Medium,Low,Yes,Normal,Low,Low
Low,Medium,Yes,High,Low,Medium
High,High,No,High,Low,High
Low,Low,Yes,Normal,Low,Low
High,Low,Yes,High,Low,Medium
Low,High,No,Normal,High,Medium
Low,Low,No,Low,High,Low
Low,Medium,Yes,Low,Medium,Medium
Medium,Medium,No,Normal,High,Medium
Low,Medium,Yes,High,Low,Medium
High,High,No,High,Medium,High
Medium,Medium,Yes,Low,Medium,Medium
Low,Medium,Yes,Normal,Medium,Medium
Medium,Medium,No,High,Low,Medium
Low,Low,No,Low,High,Low
Medium,High,No,Normal,Low,High
Medium,Medium,No,Normal,Low,Medium
High,Medium,Yes,Low,Low,Medium
High,Low,No,Normal,Low,Medium
High,Low,Yes,High,Low,Medium
Low,Medium,Yes,Normal,Medium,Medium
Low,Medium,Yes,High,Medium,Medium
Low,Low,No,Normal,Medium,Low
Low,Low,Yes,High,Medium,Low
Medium,High,Yes,Low,Medium,High
High,Low,No,Normal,Medium,Medium
Medium,High,Yes,Low,High,High
Medium,High,Yes,Low,High,High
Medium,High,Yes,High,Low,High
Low,Low,No,Low,Low,Low
Medium,Medium,Yes,Normal,Low,Medium
High,Low,Yes,Low,Medium,Medium
Low,Medium,Yes,Normal,Low,Medium
Medium,Medium,No,Low,High,Medium
Low,Medium,No,High,Medium,Medium
Low,High,No,Low,Medium,Medium
Medium,Medium,Yes,Normal,Medium,Medium
Low,High,Yes,Normal,High,High
Medium,Medium,Yes,Low,Low,Medium
Low,Low,Yes,Low,Low,Low
Low,Medium,Yes,Low,Low,Medium
Low,High,No,High,High,Medium
Medium,Low,Yes,Low,High,Low
Medium,Medium,Yes,High,Low,Medium
Low,Low,No,High,High,Low
High,Medium,No,Normal,Low,High
Medium,High,Yes,Low,Medium,High
High,Low,No,High,Medium,Medium
Low,Medium,No,Low,Medium,Low
Medium,Medium,No,Normal,Medium,Medium
Low,Medium,Yes,High,High,Medium
Low,High,No,Normal,Low,Medium
Medium,High,Yes,Normal,High,High
