Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
01.12.2008;Albury;13.IV;22.IX;0.6;NA;NA;W;44;W;WNW;20;24;71;22;1007.7;1007.1;8;NA;16.IX;21.VIII;No;No
02.12.2008;Albury;07.IV;25.I;0;NA;NA;WNW;44;NNW;WSW;4;22;44;25;1010.6;1007.8;NA;NA;17.II;24.III;No;No
03.12.2008;Albury;12.IX;25.VII;0;NA;NA;WSW;46;W;WSW;19;26;38;30;1007.6;1008.7;NA;2;21;23.II;No;No
04.12.2008;Albury;09.II;28;0;NA;NA;NE;24;SE;E;11;9;45;16;1017.6;1012.8;NA;NA;18.I;26.V;No;No
05.12.2008;Albury;17.V;32.3;1;NA;NA;W;41;ENE;NW;7;20;82;33;1010.8;1006;7;8;17.VIII;29.VII;No;No
06.12.2008;Albury;14.VI;29.VII;0.2;NA;NA;WNW;56;W;W;19;24;55;23;1009.2;1005.4;NA;NA;20.VI;28.IX;No;No
07.12.2008;Albury;14.III;25;0;NA;NA;W;50;SW;W;20;24;49;19;1009.6;1008.2;1;NA;18.I;24.VI;No;No
08.12.2008;Albury;07.VII;26.VII;0;NA;NA;W;35;SSE;W;6;17;48;19;1013.4;1010.1;NA;NA;16.III;25.V;No;No
09.12.2008;Albury;09.VII;31.9;0;NA;NA;NNW;80;SE;NW;7;28;42;9;1008.9;1003.6;NA;NA;18.III;30.2;No;Yes
10.12.2008;Albury;13.I;30.I;01.IV;NA;NA;W;28;S;SSE;15;11;58;27;1007;1005.7;NA;NA;20.I;28.II;Yes;No
11.12.2008;Albury;13.IV;30.IV;0;NA;NA;N;30;SSE;ESE;17;6;48;22;1011.8;1008.7;NA;NA;20.IV;28.VIII;No;Yes
12.12.2008;Albury;15.IX;21.VII;02.II;NA;NA;NNE;31;NE;ENE;15;13;89;91;1010.5;1004.2;8;8;15.IX;17;Yes;Yes
13.12.2008;Albury;15.IX;18.VI;15.VI;NA;NA;W;61;NNW;NNW;28;28;76;93;994.3;993;8;8;17.IV;15.VIII;Yes;Yes
14.12.2008;Albury;12.VI;21;03.VI;NA;NA;SW;44;W;SSW;24;20;65;43;1001.2;1001.8;NA;7;15.VIII;19.VIII;Yes;No
15.12.2008;Albury;08.IV;24.VI;0;NA;NA;NA;NA;S;WNW;4;30;57;32;1009.7;1008.7;NA;NA;15.IX;23.V;No;NA
16.12.2008;Albury;09.VIII;27.VII;NA;NA;NA;WNW;50;NA;WNW;NA;22;50;28;1013.4;1010.3;0;NA;17.III;26.II;NA;No
17.12.2008;Albury;14.I;20.IX;0;NA;NA;ENE;22;SSW;E;11;9;69;82;1012.2;1010.4;8;1;17.II;18.I;No;Yes
18.12.2008;Albury;13.V;22.IX;16.VIII;NA;NA;W;63;N;WNW;6;20;80;65;1005.8;1002.2;8;1;18;21.V;Yes;Yes
19.12.2008;Albury;11.II;22.V;10.VI;NA;NA;SSE;43;WSW;SW;24;17;47;32;1009.4;1009.7;NA;2;15.V;21;Yes;No
20.12.2008;Albury;09.VIII;25.VI;0;NA;NA;SSE;26;SE;NNW;17;6;45;26;1019.2;1017.1;NA;NA;15.VIII;23.II;No;No
21.12.2008;Albury;11.V;29.III;0;NA;NA;S;24;SE;SE;9;9;56;28;1019.3;1014.8;NA;NA;19.I;27.III;No;No
22.12.2008;Albury;17.I;33;0;NA;NA;NE;43;NE;N;17;22;38;28;1013.6;1008.1;NA;1;24.V;31.6;No;No
23.12.2008;Albury;20.V;31.VIII;0;NA;NA;WNW;41;W;W;19;20;54;24;1007.8;1005.7;NA;NA;23.VIII;30.VIII;No;No
24.12.2008;Albury;15.III;30.IX;0;NA;NA;N;33;ESE;NW;6;13;55;23;1011;1008.2;5;NA;20.IX;29;No;No
25.12.2008;Albury;12.VI;32.4;0;NA;NA;W;43;E;W;4;19;49;17;1012.9;1010.1;NA;NA;21.V;31.2;No;No
